seat,reg_2018,nonreg_2018,eligible_2018,nonreg_2018_pct,reg_2018_pct,reg_2022,inc,inc_undi18,inc_pct
P.192  Mas Gading,29617,14393,44010,32.70393092478982,67.29606907521017,47064,17447,3054,58.90873484822906
P.159  Pasir Gudang,124172,58139,182311,31.89001212214293,68.10998787785707,197301,73129,14990,58.89330928067519
P.222  Lawas,21297,9967,31264,31.880117707267143,68.11988229273285,33618,12321,2354,57.85321876320608
P.103  Puchong,96437,44010,140447,31.335663987126814,68.66433601287318,152016,55579,11569,57.63244397897073
P.216  Hulu Rajang,27520,12535,40055,31.29447010360754,68.70552989639246,43317,15797,3262,57.40188953488372
P.017  Padang Serai,84834,36608,121442,30.144431086444555,69.85556891355544,133474,48640,12032,57.33550227503124
P.166  Labuan,28356,13033,41389,31.489042982434945,68.51095701756506,44602,16246,3213,57.29298913810128
P.104  Subang,146422,68219,214641,31.782837388942465,68.21716261105753,230005,83583,15364,57.083634972886586
P.004  Langkawi,42697,18653,61350,30.404237978810105,69.5957620211899,66705,24008,5355,56.22877485537625
P.082  Indera Mahkota,77208,32592,109800,29.683060109289617,70.31693989071039,120055,42847,10255,55.495544503160296
P.161  Pulai,106268,47395,153663,30.8434691500231,69.1565308499769,165139,58871,11476,55.39861482290059
P.097  Selayang,116176,49150,165326,29.729141211908594,70.2708587880914,180368,64192,15042,55.25409723178626
P.183  Beluran,28509,11890,40399,29.431421569840836,70.56857843015916,43919,15410,3520,54.05310603669017
P.187  Kinabatangan,28730,11770,40500,29.06172839506173,70.93827160493827,44177,15447,3677,53.76609815523843
P.213  Mukah,30608,13272,43880,30.2461257976299,69.7538742023701,47034,16426,3154,53.66570831155254
P.117  Segambut,77956,35429,113385,31.24663756228778,68.75336243771221,119768,41812,6383,53.63538406280466
P.108  Shah Alam,107316,43969,151285,29.06368774167961,70.93631225832038,164637,57321,13352,53.41328413284133
P.125  Putrajaya,27306,10854,38160,28.443396226415096,71.5566037735849,41693,14387,3533,52.6880539075661
P.170  Tuaran,54400,22170,76570,28.953898393626748,71.04610160637326,83036,28636,6466,52.63970588235294
P.202  Sri Aman,33016,14126,47142,29.96478723855585,70.03521276144414,50254,17238,3112,52.211049188272355
P.094  Hulu Selangor,100990,40169,141159,28.456563166358507,71.5434368336415,153685,52695,12526,52.17843350826814
P.163  Kulai,99147,40084,139231,28.78956554215656,71.21043445784343,150833,51686,11602,52.13067465480549
P.214  Selangau,30026,12152,42178,28.81122860258903,71.18877139741097,45625,15599,3447,51.95164191034437
P.173  Putatan,41312,17251,58563,29.457165787271826,70.54283421272817,62764,21452,4201,51.926800929512005
P.179  Ranau,43706,17571,61277,28.67470665992134,71.32529334007866,66266,22560,4989,51.61762687045257
P.109  Kapar,124983,47862,172845,27.690705545430877,72.30929445456913,188571,63588,15726,50.877319315426895
P.149  Sri Gading,52119,20671,72790,28.398131611485095,71.6018683885149,78579,26460,5789,50.76843377654981
P.130  Rasah,102838,41326,144164,28.665963763491582,71.33403623650841,155044,52206,10880,50.76528131624497
P.131  Rembau,88365,34744,123109,28.2221446035627,71.7778553964373,133193,44828,10084,50.730492842188646
P.206  Tanjong Manis,21899,8836,30735,28.748983243858795,71.25101675614121,33006,11107,2271,50.719210922873195
P.014  Merbok,87782,34019,121801,27.92998415448149,72.07001584551851,132028,44246,10227,50.404410927069335
P.155  Tenggara,44749,17432,62181,28.03428700085235,71.96571299914766,67234,22485,5053,50.24693289235513
P.015  Sungai Petani,112577,43746,156323,27.984365704342927,72.01563429565707,168979,56402,12656,50.10081988327989
P.115  Batu,76328,31384,107712,29.1369578134284,70.8630421865716,114298,37970,6586,49.74583377004507
P.063  Tambun,107763,41651,149414,27.876236497249252,72.12376350275075,160503,52740,11089,48.94073104869018
P.184  Libaran,47914,17500,65414,26.75268291191488,73.24731708808511,71334,23420,5920,48.87924197520558
P.189  Semporna,48248,16838,65086,25.87038687275297,74.12961312724703,71619,23371,6533,48.439313546675514
P.215  Kapit,30658,11498,42156,27.2748837650631,72.7251162349369,45259,14601,3103,47.62541587840042
P.210  Kanowit,21022,8028,29050,27.63511187607573,72.36488812392427,31030,10008,1980,47.60726857577776
P.096  Kuala Selangor,69397,24687,94084,26.23931805620509,73.7606819437949,102253,32856,8169,47.34498609449977
P.100  Pandan,101319,39158,140477,27.875025804936037,72.12497419506397,148832,47513,8355,46.8944620456183
P.006  Kubang Pasu,73881,26311,100192,26.260579687000956,73.73942031299904,108177,34296,7985,46.42059528160149
P.098  Gombak,141112,51665,192777,26.80039631283815,73.19960368716185,206456,65344,13679,46.30647995918136
P.190  Tawau,59919,21600,81519,26.496890295513932,73.50310970448606,87543,27624,6024,46.102238021328795
P.205  Saratok,30517,11062,41579,26.604776449650064,73.39522355034994,44561,14044,2982,46.02025100763509
P.106  Damansara,164322,61609,225931,27.268944943367668,72.73105505663233,239197,74875,13266,45.56602280887525
P.099  Ampang,91737,33126,124863,26.52987674491242,73.47012325508757,133395,41658,8532,45.4102488635992
P.122  Seputeh,86256,32701,118957,27.4897652092773,72.5102347907227,125226,38970,6269,45.179465776293824
P.071  Gopeng,99167,35607,134774,26.41978423137994,73.58021576862006,143755,44588,8981,44.962537941048936
P.201  Batang Lupar,29811,10675,40486,26.367139258015115,73.63286074198489,43190,13379,2704,44.87940693032773
P.084  Paya Besar,55135,18910,74045,25.53852387061922,74.46147612938078,79794,24659,5749,44.72476648227079
P.207  Igan,19592,6812,26404,25.799121345250718,74.20087865474929,28351,8759,1947,44.70702327480605
P.167  Kudat,52251,17272,69523,24.843576945758958,75.15642305424105,75559,23308,6036,44.60775870318272
