state,seat,undi_keluar_peti,undi_dalam_peti,undi_tak_kembali,undi_tolak,majoriti,peratus_keluar,undi_rosak,pengundi_jumlah,pengundi_tidak_hadir,rosak_vs_keseluruhan,rosak_vs_majoriti,tidakhadir_vs_majoriti
Perak,P.058 Bagan Serai,46384,46313,71,1096,1140,84.7,1167,54762,8378,2.5159537771645395,102.36842105263158,734.9122807017544
Perak,P.059 Bukit Gantang,61018,60888,130,748,986,85.6,878,71282,10264,1.4389196630502474,89.04665314401623,1040.973630831643
Perak,P.060 Taiping,63913,63749,164,944,11745,81.8,1108,78133,14220,1.733606621501103,9.433801617709664,121.0727969348659
Perak,P.061 Padang Rengas,24230,24190,40,410,2230,85.0,450,28505,4275,1.8572018159306642,20.179372197309416,191.70403587443948
Perak,P.062 Sungai Siput,41617,41572,45,982,2793,80.7,1027,51570,9953,2.467741547925127,36.77049767275331,356.3551736484067
Perak,P.063 Tambun,76275,76057,218,1196,9325,85.3,1414,89419,13144,1.8538184201901016,15.16353887399464,140.9544235924933
Perak,P.064 Ipoh Timor,65217,65006,211,834,34000,79.7,1045,81828,16611,1.6023429473910178,3.073529411764706,48.85588235294118
Perak,P.065 Ipoh Barat,63074,62912,162,875,29038,81.1,1037,77773,14699,1.6441005802707929,3.5711825883325297,50.61987740202494
Perak,P.066 Batu Gajah,70270,70096,174,966,38410,80.2,1140,87618,17348,1.6223139319766613,2.9679770892996613,45.165321530851344
Perak,P.067 Kuala Kangsar,28283,28208,75,407,1082,84.3,482,33550,5267,1.7042039387618002,44.54713493530499,486.7837338262477
Perak,P.068 Beruas,39586,39508,78,687,5057,80.5,765,49175,9589,1.9325013893800838,15.127545975875027,189.61835080087008
Perak,P.069 Parit,28613,28541,72,532,4497,85.4,604,33504,4891,2.110928598888617,13.431176339782077,108.76139648654659
Perak,P.070 Kampar,49272,49146,126,820,5400,77.4,946,63658,14386,1.9199545380743626,17.51851851851852,266.40740740740745
Perak,P.071 Gopeng,81442,81263,179,1456,15309,83.9,1635,97070,15628,2.007563664939466,10.679992161473644,102.08374158991442
Perak,P.072 Tapah,36957,36855,102,1052,7927,81.3,1154,45457,8500,3.1225478258516652,14.55784029267062,107.22845969471426
Perak,P.073 Pasir Salak,43533,43372,161,1008,7386,84.5,1169,51518,7985,2.6853191831484162,15.827240725697264,108.10993772001083
Perak,P.074 Lumut,73756,73581,175,1133,8168,83.5,1308,88330,14574,1.7734150441997938,16.01371204701273,178.42801175318314
Perak,P.075 Bagan Datuk,33069,32960,109,716,2108,82.8,825,39938,6869,2.4947836342193592,39.13662239089184,325.85388994307397
Perak,P.076 Teluk Intan,48839,48649,190,885,7313,80.7,1075,60519,11680,2.2011097688322856,14.6998495829345,159.71557500341856
Perak,P.077 Tanjong Malim,53399,53237,162,1115,4328,82.8,1277,64491,11092,2.391430551133916,29.505545286506468,256.2846580406654
Pahang,P.078 Cameron Highlands,22754,22748,6,877,462,81.3,883,27987,5233,3.8806363716269665,191.12554112554113,1132.6839826839825
Pahang,P.079 Lipis,27126,26986,140,426,3469,83.9,566,32331,5205,2.08655902086559,16.3159411934275,150.0432401268377
Pahang,P.080 Raub,45059,44943,116,927,2814,83.1,1043,54222,9163,2.3147428926518563,37.06467661691542,325.6218905472637
Pahang,P.081 Jerantut,49600,49461,139,905,4532,85.0,1044,58352,8752,2.1048387096774195,23.036187113857018,193.11562224183584
Pahang,P.082 Indera Mahkota,54737,54527,210,689,7523,85.2,899,64245,9508,1.6423991084641103,11.950019938854181,126.38575036554568
Pahang,P.083 Kuantan,47858,47723,135,570,4515,85.0,705,56303,8445,1.4731079443353252,15.614617940199334,187.04318936877075
Pahang,P.084 Paya Besar,40834,40694,140,643,7715,85.0,783,48040,7206,1.9175197139638536,10.14906027219702,93.40246273493194
Pahang,P.085 Pekan,68464,68218,246,1275,35613,85.3,1521,80262,11798,2.2216055153073144,4.2709123073035125,33.12835200628984
Pahang,P.086 Maran,32750,32595,155,572,6475,85.2,727,38438,5688,2.219847328244275,11.227799227799228,87.84555984555985
Pahang,P.087 Kuala Krau,37663,37548,115,603,6205,87.6,718,42994,5331,1.9063802671056476,11.571313456889605,85.91458501208703
Pahang,P.088 Temerloh,56595,56441,154,977,1070,85.6,1131,66115,9520,1.9984097535117942,105.70093457943925,889.7196261682243
Pahang,P.089 Bentong,52628,52503,125,988,379,84.5,1113,62281,9653,2.1148438093790376,293.6675461741425,2546.9656992084433
Pahang,P.090 Bera,42944,42830,114,965,2143,84.2,1079,51002,8058,2.512574515648286,50.34997666822212,376.01493233784413
Pahang,P.091 Rompin,46014,45849,165,883,15114,85.9,1048,53566,7552,2.277567696787934,6.933968506020907,49.96691808918883
Selangor,P.092 Sabak Bernam,31859,31706,153,576,1890,85.4,729,37305,5446,2.2882074139175743,38.57142857142858,288.14814814814815
Selangor,P.093 Sungai Besar,37810,37681,129,690,399,88.3,819,42819,5009,2.1660936260248613,205.26315789473685,1255.388471177945
Selangor,P.094 Hulu Selangor,75113,74947,166,1451,3414,87.6,1617,85745,10632,2.1527565135196305,47.36379613356767,311.4235500878735
Selangor,P.095 Tanjong Karang,37768,37676,92,634,4394,89.2,726,42340,4572,1.9222622325778438,16.522530723714155,104.05097860719164
Selangor,P.096 Kuala Selangor,55592,55474,118,934,460,89.2,1052,62322,6730,1.892358612750036,228.69565217391306,1463.0434782608695
Selangor,P.097 Selayang,92528,92315,213,1435,17958,87.4,1648,105867,13339,1.7810824831402388,9.176968482013587,74.27887292571556
Selangor,P.098 Gombak,107140,106747,393,1353,4734,86.9,1746,123291,16151,1.6296434571588576,36.88212927756654,341.17025771018166
Selangor,P.099 Ampang,71574,71398,176,738,13278,86.1,914,83128,11554,1.277000027943108,6.883566802229252,87.01611688507306
Selangor,P.100 Pandan,73228,73075,153,1023,26729,87.3,1176,83880,10652,1.6059430818812475,4.399715664633918,39.851846309252124
Selangor,P.101 Hulu Langat,112856,112322,534,1335,17267,88.6,1869,127376,14520,1.6560927199262776,10.824115364568252,84.09104071349974
Selangor,P.102 Bangi,118339,118048,291,1778,42206,88.9,2069,133114,14775,1.748366979609427,4.902146614225466,35.00687106098659
Selangor,P.103 Puchong,94529,94335,194,1261,32802,88.3,1455,107054,12525,1.5392101894656667,4.435705139930492,38.18364733857692
Selangor,P.104 Subang,86497,86287,210,1171,28827,85.4,1381,101284,14787,1.5965871648727703,4.790647656710723,51.29566031845145
Selangor,P.105 Petaling Jaya,65323,65185,138,830,19216,82.1,968,79565,14242,1.481867029989437,5.037468776019984,74.11532056619484
Selangor,P.106 Damansara,70727,70614,113,472,44672,82.8,585,85419,14692,0.8271240120463189,1.309545128939828,32.88861031518625
Selangor,P.107 Sungai Buloh,112937,112618,319,1669,26719,87.9,1988,128483,15546,1.760273426777761,7.440398218496201,58.183315243833974
