state,parlimen,ballot_order,name,party,votes,result,result_desc
Sarawak,P.211 Lanang,2,PRISCILLA LAU,PARTI RAKYAT GABUNGAN JAKSA PENDAMAI (PEACE),628,0,lost_deposit
Sarawak,P.211 Lanang,3,KONG SIEN CHIU,BARISAN NASIONAL (BN),15359,0,lost
Sarawak,P.212 Sibu,1,WONG KEE YEW,BARISAN NASIONAL (BN),22389,0,lost
Sarawak,P.212 Sibu,2,TIEW YEN HOUNG,PARTI RAKYAT GABUNGAN JAKSA PENDAMAI (PEACE),377,0,lost_deposit
Sarawak,P.212 Sibu,3,OSCAR LING CHAI YEW,PARTI TINDAKAN DEMOKRATIK (DAP),33811,1,won
Sarawak,P.212 Sibu,4,TIONG ING TUNG,PARTI REFORMASI NEGERI SARAWAK (STAR),176,0,lost_deposit
Sarawak,P.213 Mukah,1,HANIFAH HAJAR TAIB,BARISAN NASIONAL (BN),13853,1,won
Sarawak,P.213 Mukah,2,ABDUL JALIL BUJANG,PARTI KEADILAN RAKYAT (PKR),6853,0,lost
Sarawak,P.214 Selangau,1,RITA INSOL,BARISAN NASIONAL (BN),10742,0,lost
Sarawak,P.214 Selangau,2,BARU BIAN,PARTI KEADILAN RAKYAT (PKR),11228,1,won
Sarawak,P.215 Kapit,1,PAREN ANAK NYAWI,PARTI TINDAKAN DEMOKRATIK (DAP),3823,0,lost
Sarawak,P.215 Kapit,2,DATUK ALEXANDER NANTA LINGGI,BARISAN NASIONAL (BN),14302,1,won
Sarawak,P.216 Hulu Rajang,1,ABUN SUI ANYIT,PARTI KEADILAN RAKYAT (PKR),5519,0,lost
Sarawak,P.216 Hulu Rajang,2,WILSON UGAK ANAK KUMBONG,BARISAN NASIONAL (BN),11834,1,won
Sarawak,P.217 Bintulu,1,DATO' SERI TIONG KING SING,BARISAN NASIONAL (BN),27076,1,won
Sarawak,P.217 Bintulu,2,CHIEW CHAN YEW,PARTI TINDAKAN DEMOKRATIK (DAP),20054,0,lost
Sarawak,P.217 Bintulu,3,CHIENG LEA PHING,PARTI REFORMASI NEGERI SARAWAK (STAR),328,0,lost_deposit
Sarawak,P.218 Sibuti,1,LUKANISMAN BIN AWANG SAUNI,BARISAN NASIONAL (BN),12214,1,won
Sarawak,P.218 Sibuti,2,ANAI ZULAI ,PARTI ISLAM SE MALAYSIA (PAS),1617,0,lost_deposit
Sarawak,P.218 Sibuti,3,JEMAT PANJANG,PARTI KEADILAN RAKYAT (PKR),8538,0,lost
Sarawak,P.219 Miri,1,MICHAEL TEO YU KENG,PARTI KEADILAN RAKYAT (PKR),35739,1,won
Sarawak,P.219 Miri,2,SEBASTIAN TING CHIEW YEW,BARISAN NASIONAL (BN),22076,0,lost
Sarawak,P.220 Baram,1,ANYI NGAU,BARISAN NASIONAL (BN),12171,1,won
Sarawak,P.220 Baram,2,ROLAND ENGAN,PARTI KEADILAN RAKYAT (PKR),10181,0,lost
Sarawak,P.221 Limbang,1,DR. RICARDO YAMPIL BABA,PARTI KEADILAN RAKYAT (PKR),4879,0,lost
Sarawak,P.221 Limbang,2,HASBI BIN HABIBOLLAH,BARISAN NASIONAL (BN),12589,1,won
Sarawak,P.222 Lawas,1,HENRY SUM AGONG,BARISAN NASIONAL (BN),10037,1,won
Sarawak,P.222 Lawas,2,DANNY PIRI,PARTI KEADILAN RAKYAT (PKR),4037,0,lost
Sarawak,P.222 Lawas,3,MOHAMMAD BIN HAJI BRAHIM,BEBAS (BEBAS),176,0,lost_deposit
