state,parlimen,ballot_order,name,age,sex,ethnicity,party,votes,result,result_desc
Terengganu,P.039 Dungun,1,MATULIDI BIN JUSOH,50,male,bumiputera,BARISAN NASIONAL (BN),29264,1,won
Terengganu,P.039 Dungun,2,SHAMSUL ISKANDAR MOHD AKIN,33,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),24270,0,lost
Terengganu,P.040 Kemaman,1,AHMAD SHABERY CHEEK,49,male,bumiputera,BARISAN NASIONAL (BN),37199,1,won
Terengganu,P.040 Kemaman,2,FARIZ MUSA,38,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),24516,0,lost
Pulau Pinang,P.041 Kepala Batas,1,ABDULLAH BIN AHMAD BADAWI,68,male,bumiputera,BARISAN NASIONAL (BN),23445,1,won
Pulau Pinang,P.041 Kepala Batas,2,SUBRI ARSHAD,44,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),12199,0,lost
Pulau Pinang,P.042 Tasek Gelugor,1,CIK GU ISMAIL SALLEH,63,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),15901,0,lost
Pulau Pinang,P.042 Tasek Gelugor,2,NOR MOHAMED YAKCOP,60,male,bumiputera,BARISAN NASIONAL (BN),20448,1,won
Pulau Pinang,P.043 Bagan,1,LIM GUAN ENG,47,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),33748,1,won
Pulau Pinang,P.043 Bagan,2,SONG CHOY LENG,35,female,chinese,BARISAN NASIONAL (BN),11678,0,lost
Pulau Pinang,P.044 Permatang Pauh,1,PIRDAUS BIN ISMAIL,42,male,bumiputera,BARISAN NASIONAL (BN),16950,0,lost
Pulau Pinang,P.044 Permatang Pauh,2,WAN AZIZAH,55,female,bumiputera,PARTI KEADILAN RAKYAT (PKR),30348,1,won
Pulau Pinang,P.045 Bukit Mertajam,1,ONG TANG CHUAN,29,male,chinese,BARISAN NASIONAL (BN),11985,0,lost
Pulau Pinang,P.045 Bukit Mertajam,2,CHONG ENG,50,female,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),37882,1,won
Pulau Pinang,P.046 Batu Kawan,1,P. RAMASAMY,58,male,indian,PARTI TINDAKAN DEMOKRATIK (DAP),23067,1,won
Pulau Pinang,P.046 Batu Kawan,2,KOH TSU KOON,58,male,chinese,BARISAN NASIONAL (BN),13582,0,lost
Pulau Pinang,P.047 Nibong Tebal,1,TAN TEE BENG,36,male,chinese,PARTI KEADILAN RAKYAT (PKR),20210,1,won
Pulau Pinang,P.047 Nibong Tebal,2,ZAINAL ABIDIN OSMAN,47,male,bumiputera,BARISAN NASIONAL (BN),17123,0,lost
Pulau Pinang,P.048 Bukit Bendera,1,CHIA KWANG CHYE,55,male,chinese,BARISAN NASIONAL (BN),15131,0,lost
Pulau Pinang,P.048 Bukit Bendera,2,LIEW CHIN TONG,30,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),31243,1,won
Pulau Pinang,P.049 Tanjong,1,KHAW VEON SZU,36,male,chinese,BARISAN NASIONAL (BN),9759,0,lost
Pulau Pinang,P.049 Tanjong,2,CHOW KON YEOW,49,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),28248,1,won
Pulau Pinang,P.050 Jelutong,1,THOR TEONG GEE,37,male,chinese,BARISAN NASIONAL (BN),14247,0,lost
Pulau Pinang,P.050 Jelutong,2,BADRUL ZAMAN,56,male,bumiputera,BEBAS (BEBAS),882,0,lost_deposit
Pulau Pinang,P.050 Jelutong,3,OOI CHUAN AUN,52,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),30493,1,won
Pulau Pinang,P.051 Bukit Gelugor,1,KOAY KAR HUAH,60,male,chinese,BARISAN NASIONAL (BN),14125,0,lost
Pulau Pinang,P.051 Bukit Gelugor,2,KARPAL SINGH,67,male,other,PARTI TINDAKAN DEMOKRATIK (DAP),35140,1,won
Pulau Pinang,P.052 Bayan Baru,1,OOI SIEW KIM,52,female,chinese,BARISAN NASIONAL (BN),16589,0,lost
Pulau Pinang,P.052 Bayan Baru,2,ZAHRAIN MOHAMED HASHIM,52,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),27618,1,won
Pulau Pinang,P.053 Balik Pulau,1,NORRAESAH MOHAMAD,59,female,bumiputera,BARISAN NASIONAL (BN),15041,0,lost
Pulau Pinang,P.053 Balik Pulau,2,YUSMADI YUSOFF,33,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),15749,1,won
Perak,P.054 Gerik,1,TAN LIAN HOE,49,female,chinese,BARISAN NASIONAL (BN),12526,1,won
Perak,P.054 Gerik,2,MOHD NOOR,43,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),6953,0,lost
Perak,P.055 Lenggong,1,IBRAHIM ZAKARIA,38,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),6073,0,lost
Perak,P.055 Lenggong,2,SHAMSUL ANUAR NASARAH,40,male,bumiputera,BARISAN NASIONAL (BN),10992,1,won
Perak,P.056 Larut,1,MOHD DHARI BIN OTHMAN,60,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),13967,0,lost
Perak,P.056 Larut,2,HAMZAH ZAINUDIN,51,male,bumiputera,BARISAN NASIONAL (BN),15878,1,won
Perak,P.057 Parit Buntar,1,MUJAHID YUSOF RAWA,43,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),21221,1,won
Perak,P.057 Parit Buntar,2,ABDUL RAMAN BIN SULIMAN,58,male,bumiputera,BARISAN NASIONAL (BN),13670,0,lost
Perak,P.058 Bagan Serai,1,MOHSIN FADZLI BIN SAMSURI,62,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),18943,1,won
Perak,P.058 Bagan Serai,2,ZAINAL ABIDIN ZIN,68,male,bumiputera,BARISAN NASIONAL (BN),15530,0,lost
Perak,P.059 Bukit Gantang,1,ROSLAN BIN SHAHARUM,48,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),20015,1,won
Perak,P.059 Bukit Gantang,2,ABDUL AZIM BIN MOHD ZABIDI,48,male,bumiputera,BARISAN NASIONAL (BN),18449,0,lost
Perak,P.059 Bukit Gantang,3,MOHGANAN A/L P MANIKAM,45,male,indian,BEBAS (BEBAS),872,0,lost_deposit
Perak,P.060 Taiping,1,NGA KOR MING,35,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),28098,1,won
Perak,P.060 Taiping,2,M. KAYVEAS,53,male,indian,BARISAN NASIONAL (BN),16800,0,lost
Perak,P.061 Padang Rengas,1,ALIAS ZENON,69,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),8081,0,lost
Perak,P.061 Padang Rengas,2,MOHAMED NAZRI BIN TAN ABDUL AZIZ,53,male,bumiputera,BARISAN NASIONAL (BN),9830,1,won
Perak,P.062 Sungai Siput,1,NOR RIZAN BIN OON,48,male,bumiputera,BEBAS (BEBAS),864,0,lost_deposit
Perak,P.062 Sungai Siput,2,S. SAMY VELLU,70,male,indian,BARISAN NASIONAL (BN),14637,0,lost
Perak,P.062 Sungai Siput,3,MICHAEL JEYAKUMAR DEVARAJ,52,male,indian,PARTI KEADILAN RAKYAT (PKR),16458,1,won
Perak,P.063 Tambun,1,MOHAMAD ASRI,60,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),22556,0,lost
Perak,P.063 Tambun,2,AHMAD HUSNI HANADZLAH,55,male,bumiputera,BARISAN NASIONAL (BN),27942,1,won
Perak,P.064 Ipoh Timor,1,LIM KIT SIANG,67,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),37364,1,won
Perak,P.064 Ipoh Timor,2,LIEW MUN HON,31,male,chinese,BARISAN NASIONAL (BN),15422,0,lost
Perak,P.065 Ipoh Barat,1,YIK PHOOI HONG,58,male,chinese,BARISAN NASIONAL (BN),17042,0,lost
Perak,P.065 Ipoh Barat,2,M. KULA,50,male,indian,PARTI TINDAKAN DEMOKRATIK (DAP),32576,1,won
Perak,P.066 Batu Gajah,1,CHEAH YOKE CAN,40,male,chinese,BARISAN NASIONAL (BN),15295,0,lost
Perak,P.066 Batu Gajah,2,FONG PO KUAN,34,female,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),39922,1,won
Perak,P.067 Kuala Kangsar,1,RAFIDAH AZIZ,64,female,bumiputera,BARISAN NASIONAL (BN),10735,1,won
Perak,P.067 Kuala Kangsar,2,KHAIRUDDIN BIN ABDUL MALIK,47,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),9277,0,lost
Perak,P.068 Beruas,1,CHANG KO YOUN,50,male,chinese,BARISAN NASIONAL (BN),14003,0,lost
Perak,P.068 Beruas,2,NGEH KOO HAM,46,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),15831,1,won
Perak,P.069 Parit,1,NAJIHA AHMAD,41,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),9526,0,lost
Perak,P.069 Parit,2,NIZAR,39,male,bumiputera,BARISAN NASIONAL (BN),12399,1,won
Perak,P.070 Kampar,1,KEONG MENG SING,53,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),17429,0,lost
Perak,P.070 Kampar,2,LEE CHEE LEONG,50,male,chinese,BARISAN NASIONAL (BN),20126,1,won
Perak,P.071 Gopeng,1,LEE BOON CHYE,48,male,chinese,PARTI KEADILAN RAKYAT (PKR),29696,1,won
Perak,P.071 Gopeng,2,LING HEE LEONG,38,male,chinese,BARISAN NASIONAL (BN),22328,0,lost
Perak,P.072 Tapah,1,M. SARAVANAN,40,male,indian,BARISAN NASIONAL (BN),14084,1,won
Perak,P.072 Tapah,2,S. T. TAN,39,male,chinese,PARTI KEADILAN RAKYAT (PKR),11064,0,lost
Perak,P.073 Pasir Salak,1,MUSTAFFA KAMIL AYUB,45,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),14240,0,lost
Perak,P.073 Pasir Salak,2,TAJUDDIN ABDUL RAHMAN,60,male,bumiputera,BARISAN NASIONAL (BN),16928,1,won
Perak,P.074 Lumut,1,KONG CHO HA,57,male,chinese,BARISAN NASIONAL (BN),25698,1,won
Perak,P.074 Lumut,2,SUWARDI HJ SAPUAN,62,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),25400,0,lost
Perak,P.075 Bagan Datuk,1,AHMAD ZAHID BIN HAMIDI,55,male,bumiputera,BARISAN NASIONAL (BN),13115,1,won
Perak,P.075 Bagan Datuk,2,MADHI HASAN,34,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),10423,0,lost
Perak,P.076 Teluk Intan,1,MAH SIEW KEONG,46,male,bumiputera,BARISAN NASIONAL (BN),17016,0,lost
Perak,P.076 Teluk Intan,2,MANOGARAN,48,male,indian,PARTI TINDAKAN DEMOKRATIK (DAP),18486,1,won
Perak,P.077 Tanjong Malim,1,ONG KA CHUAN,53,male,chinese,BARISAN NASIONAL (BN),21016,1,won
Perak,P.077 Tanjong Malim,2,MOHAMAD AZMAN BIN MARJOHAN,39,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),15594,0,lost
Pahang,P.078 Cameron Highlands,1,J. APALASAMY,57,male,indian,PARTI TINDAKAN DEMOKRATIK (DAP),6047,0,lost
Pahang,P.078 Cameron Highlands,2,S.K. DEVAMANY,50,male,indian,BARISAN NASIONAL (BN),9164,1,won
Pahang,P.079 Lipis,1,SHAHRUM OSMAN,54,male,bumiputera,BARISAN NASIONAL (BN),12611,1,won
Pahang,P.079 Lipis,2,MOHAMED NILAM,39,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),8474,0,lost
Pahang,P.080 Raub,1,ABU BAKAR BIN LEBAI SUDIN,66,male,bumiputera,PARTI TINDAKAN DEMOKRATIK (DAP),15326,0,lost
Pahang,P.080 Raub,2,NG YEN YEN,61,female,chinese,BARISAN NASIONAL (BN),18078,1,won
Pahang,P.081 Jerantut,1,HAMZAH,42,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),17597,0,lost
Pahang,P.081 Jerantut,2,TENGKU AZLAN IBNI SULTAN ABU BAKAR,58,male,bumiputera,BARISAN NASIONAL (BN),19543,1,won
Pahang,P.082 Indera Mahkota,1,SALAMON ALI RIZAL BIN ABDUL RAHMAN,40,male,bumiputera,BARISAN NASIONAL (BN),18796,0,lost
Pahang,P.082 Indera Mahkota,2,AZAN ISMAIL,42,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),19823,1,won
Pahang,P.083 Kuantan,1,FUZIAH SALLEH,48,female,bumiputera,PARTI KEADILAN RAKYAT (PKR),18398,1,won
Pahang,P.083 Kuantan,2,FU AH KIOW,59,male,chinese,BARISAN NASIONAL (BN),16572,0,lost
Pahang,P.084 Paya Besar,1,MOHD JAFRI HJ ABDUL RASHID,50,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),10852,0,lost
Pahang,P.084 Paya Besar,2,ABDUL MANAN BIN ISMAIL,59,male,bumiputera,BARISAN NASIONAL (BN),19355,1,won
Pahang,P.085 Pekan,1,KHAIRUL ANUAR,31,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),9798,0,lost
Pahang,P.085 Pekan,2,MOHD NAJIB BIN TUN ABDUL RAZAK,54,male,bumiputera,BARISAN NASIONAL (BN),36262,1,won
Pahang,P.086 Maran,1,ISMAIL BIN HJ ABDUL MUTTALIB,53,male,bumiputera,BARISAN NASIONAL (BN),15868,1,won
Pahang,P.086 Maran,2,NASRUDIN HASSAN TANTAWI,37,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),9227,0,lost
Pahang,P.087 Kuala Krau,1,ISMAIL BIN MOHAMED SAID,42,male,bumiputera,BARISAN NASIONAL (BN),16165,1,won
Pahang,P.087 Kuala Krau,2,KAMAL BIN ASHAARI,37,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),10900,0,lost
Pahang,P.088 Temerloh,1,SAIFUDDIN ABDULLAH,47,male,bumiputera,BARISAN NASIONAL (BN),21381,1,won
Pahang,P.088 Temerloh,2,AHMAD NIZAM HAMID,39,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),18940,0,lost
Pahang,P.089 Bentong,1,LIOW TIONG LAI,46,male,chinese,BARISAN NASIONAL (BN),25134,1,won
Pahang,P.089 Bentong,2,RAM PONUSAMY,56,male,indian,PARTI KEADILAN RAKYAT (PKR),12585,0,lost
Pahang,P.090 Bera,1,ISMAIL SABRI YAAKOB,48,male,bumiputera,BARISAN NASIONAL (BN),18297,1,won
Pahang,P.090 Bera,2,MAZLAN BIN ALIMAN,41,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),13984,0,lost
Pahang,P.091 Rompin,1,MAZLAN BIN MOHD YASIN,49,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),10629,0,lost
Pahang,P.091 Rompin,2,JAMALUDIN BIN JARJIS,56,male,bumiputera,BARISAN NASIONAL (BN),21308,1,won
Selangor,P.092 Sabak Bernam,1,ABDUL RAHMAN BAKRI,42,male,bumiputera,BARISAN NASIONAL (BN),12055,1,won
Selangor,P.092 Sabak Bernam,2,BADRULAMIN BAHRON,46,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),10720,0,lost
Selangor,P.093 Sungai Besar,1,NORIAH BINTI KASNON,44,female,bumiputera,BARISAN NASIONAL (BN),16069,1,won
Selangor,P.093 Sungai Besar,2,OSMAN SABRAN,59,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),11060,0,lost
Selangor,P.094 Hulu Selangor,1,G. PALANIVEL,59,male,indian,BARISAN NASIONAL (BN),22979,0,lost
