state,parlimen,code_state,code_parlimen,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none
Sarawak,P.204 Betong,13,P.204,2020,1398,34630,34259,371,18030,16600,96.11197058,3.759596019,0.02918941,0.099243994,21.5,68.5,10,73.1,11462,8311,4.2,516,266,250,205,119,86,61.3,5,2764,3996,2868,0.372,23,57,520,2324,16,15,0,1,0,1,24,112,537,78.9,2.4,18.8,99.6,0.4
Sarawak,P.205 Saratok,13,P.205,2020,1666,41339,40985,354,20566,20773,95.05428815,4.826155911,0.014639502,0.104916433,19.7,70.4,9.9,75.4,13048,9672,4.3,622,335,287,249,150,99,67.6,4.4,3004,3829,2747,0.345,17.6,6,97,863,11,10,0,1,0,0,18,74,621,89.8,3.8,6.4,100,0
Sarawak,P.206 Tanjong Manis,13,P.206,2020,2024,32768,30832,1936,16991,15777,93.52296316,6.159185262,0.06486767,0.252983913,23,68.8,8.2,71.9,12626,9122,3.6,483,251,232,192,112,80,65.9,4,2991,3803,2795,0.337,14.8,58,437,2793,12,8,3,0,1,1,36,109,933,85.5,0.2,14.3,100,0
Sarawak,P.207 Igan,13,P.207,2020,2206,27388,24084,3304,14682,12706,97.2678957,2.362564358,0.016608537,0.352931407,23.6,68.4,8,71.2,10226,8448,3.2,407,203,204,161,91,70,66.3,5.9,2980,3968,2506,0.37,21.8,89,972,6148,11,10,1,0,0,0,11,99,432,87.6,0,12.4,99.6,0.4
Sarawak,P.208 Sarikei,13,P.208,2020,712,43119,42361,758,21696,21423,49.57153986,50.14282005,0.033049267,0.252590826,23.2,67.6,9.2,71.1,16303,11359,3.8,638,342,296,255,152,103,66.3,5,3499,4725,3063,0.381,9.1,297,2972,13328,67,49,6,6,6,1,93,180,1740,97.6,0.1,2.2,99.7,0.3
Sarawak,P.209 Julau,13,P.209,2020,2858,35126,35046,80,17957,17169,94.27894767,5.541288592,0.008560178,0.171203561,22.6,67.5,9.9,71.6,11470,8342,4.2,519,272,247,207,122,85,72,4.6,2625,3286,2524,0.343,18.1,114,1385,6575,9,7,1,0,1,0,2,44,177,61.5,0,38.5,100,0
Sarawak,P.210 Kanowit,13,P.210,2020,2187,24700,24233,467,12349,12351,91.02050922,8.835059629,0.016506417,0.127924731,23.5,65,11.5,70.5,9744,6720,3.7,360,193,167,144,86,58,68.8,4.8,2670,3480,2497,0.387,21.9,27,381,2254,9,8,1,0,0,0,9,23,257,71.9,4.9,23.2,99.1,0.9
Sarawak,P.211 Lanang,13,P.211,2020,722,104930,102663,2267,52980,51950,55.69971655,44.00416898,0.060391767,0.235722704,21.9,70,8.1,72.6,35113,27123,3.9,1508,801,707,603,359,244,65.4,5.3,4468,5658,3528,0.354,10.8,12,151,1625,383,179,31,10,163,19,371,396,4674,98.1,1.8,0.2,99.9,0.1
Sarawak,P.212 Sibu,13,P.212,2020,1399,141574,130707,10867,74033,67541,46.57133895,52.98339033,0.142303014,0.302967706,20.1,71.8,8.1,75,49188,38946,3.6,1991,1040,951,792,463,329,68.3,3.5,5099,6592,3741,0.37,4,12,136,1323,328,167,21,13,127,14,391,506,5751,96.4,1.1,2.5,100,0
Sarawak,P.213 Mukah,13,P.213,2020,2985,60805,54006,6799,31614,29191,91.98237233,7.793578491,0.059252676,0.164796504,23,69.3,7.7,72,19214,16520,3.7,896,465,431,357,208,149,67.2,3.4,3830,5210,2977,0.379,10.3,,52,566,30,24,2,1,3,4,27,78,784,80.9,1.9,17.2,99.7,0.3
Sarawak,P.214 Selangau,13,P.214,2020,9193,51335,46873,4462,27721,23614,95.86969044,3.793228511,0.03413479,0.302946259,23.1,70.3,6.7,71.9,16426,13481,3.8,753,375,378,298,167,131,67.1,4.3,3445,4303,2696,0.349,11.1,8,30,412,17,14,1,0,2,0,22,38,439,47.1,1.2,51.7,99.4,0.6
